school_id,year,name,medical-exemptions,religious-exemptions,polio,measles,mumps,rubella,diphtheria,hepb,varicella,completely-immunized,street,city,county,state,zip,latitude,longitude,address,address2
3.42E+11,2014-2015,Resurrection Ascension School,0,0.45,89.2,99.6,99.1,99.6,91.9,99.6,98.7,86.5,8526 61ST RD,MIDDLE VILLAGE,QUEENS,NY,11379,40.728001,-73.872004,"8526 61ST RD, MIDDLE VILLAGE, NY, 11379","8526 61st Rd, Middle Village, NY, 11379"
3.42E+11,2014-2015,Martin Luther H S,0,0.44,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.2,60-02 MASPETH AVENUE,MASPETH,QUEENS,NY,11378,40.7230816,-73.9062135,"60-02 MASPETH AVENUE, MASPETH, NY, 11378","60-02 Maspeth Avenue, Maspeth, NY, 11378"
3.43E+11,2014-2015,St. Andrew Avellino School,0,0,100,100,100,100,100,100,100,100,35-50 158TH ST,FLUSHING,QUEENS,NY,11358,40.7646102,-73.8072467,"35-50 158TH ST, FLUSHING, NY, 11358","35-50 158th St, Flushing, NY, 11358"
3.43E+11,2014-2015,Most Holy Redeemer Academy,0,0.49,99.5,99.5,99.5,99.5,99.5,99.5,99.5,98.5,136-58 41ST AVENUE,FLUSHING,QUEENS,NY,11355,40.758875,-73.826886,"13- 58 41ST AVENUE, FLUSHING, NY, 11355","13- 58 41st Avenue, Flushing, NY, 11355"
3.43E+11,2014-2015,Holy Trinity School,0,0.4,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,14-45 143RD ST,WHITESTONE,QUEENS,NY,11357,40.78585,-73.826106,"14-45 143RD ST, WHITESTONE, NY, 11357","14-45 143rd St, Whitestone, NY, 11357"
3.43E+11,2014-2015,Rabbinical Seminary Of America,0,0,100,100,100,100,100,100,100,100,76-1 147TH STREET,FLUSHING,QUEENS,NY,11367,40.72309,-73.816898,"76-1 147TH STREET, FLUSHING, NY, 11367","76-1 147th Street, Flushing, NY, 11367"
3.43E+11,2014-2015,Divine Wisdom Catholic Academy,0,0.55,98,98.2,98.2,98.2,98.2,98.2,98.2,96.9,45-11 245TH ST,DOUGLASTON,QUEENS,NY,11362,40.765038,-73.740482,"45-11 245TH ST, DOUGLASTON, NY, 11362","45-11 245th St, Douglaston, NY, 11362"
3.43E+11,2014-2015,Holy Family School,0,0.46,97.3,98.6,98.6,98.6,94.5,99.5,96.8,92.7,7415 175TH ST,FLUSHING,QUEENS,NY,11366,40.728724,-73.794571,"7415 175TH ST, FLUSHING, NY, 11366","7415 175th St, Flushing, NY, 11366"
3.43E+11,2014-2015,Our Lady Of Blessed Sacrament,0,0,100,100,100,100,100,100,100,98.8,34-45 202ND ST,BAYSIDE,QUEENS,NY,11361,40.766485,-73.785307,"34-45 202ND ST, BAYSIDE, NY, 11361","34-45 202nd St, Bayside, NY, 11361"
3.43E+11,2014-2015,Summit School,2.81,2.01,94.8,94.8,94.8,94.8,94.8,94.8,94.4,94,187-30 GRAND CENTRAL PKWY,JAMAICA ESTATES,QUEENS,NY,11432,40.721266,-73.776928,"187-30 GRAND CENTRAL PKWY, JAMAICA ESTATES, NY, 11432","187-30 Grand Central Pkwy, Jamaica Estates, NY, 11432"
3.43E+11,2014-2015,Our Lady Catholic Academy,0,0,96.9,99.1,99.1,99.1,96,99.4,98.2,94.5,125 18 ROCKAWAY BOULEVARD,SO OZONE PARK,QUEENS,NY,11420,40.6481667,-73.9625397,"125 18 ROCKAWAY BOULEVARD, SO OZONE PARK, NY, 11420","125 E 18th St, Brooklyn, NY 11226"
3.43E+11,2014-2015,St. Elizabeth School,0,0.39,99.6,99.6,99.6,99.6,98.4,99.6,99.2,98.4,94-1 85TH ST,OZONE PARK,QUEENS,NY,11416,40.685575,-73.856124,"94-1 85TH ST, OZONE PARK, NY, 11416","94-1 85th St, Ozone Park, NY, 11416"
3.43E+11,2014-2015,Holy Child Jesus School,0,0,99.4,100,100,100,85.2,100,100,85.2,111-02 86TH AVENUE,RICHMOND HILL,QUEENS,NY,11418,40.6986997,-73.8378487,"111-02 86TH AVENUE, RICHMOND HILL, NY, 11418","111-02 86th Ave, Richmond Hill, NY 11418"
3.43E+11,2014-2015,St. Nicholas-Tolentine School,0,0,100,100,100,100,100,100,100,100,80-22 PARSONS BLVD,JAMAICA,QUEENS,NY,11432,40.7196148,-73.8090149,"80-22 PARSONS BOULEVARD, JAMAICA, NY, 11432","80-22 Parsons Boulevard, Jamaica, NY, 11432"
3.43E+11,2014-2015,Our Lady Of Mercy School,0,1.4,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,70-25 KESSEL ST,FOREST HILLS,QUEENS,NY,11375,40.71385,-73.850391,"70-25 KESSEL ST, FOREST HILLS, NY, 11375","70-25 Kessel St, Forest Hills, NY, 11375"
