state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
PA,0,21541.49,21795.57,13255.72,9974.63,6492.87,15133.2,9076.83,8686.01,13419.32,7626.94,3548.48,0,130551.06,-77.807272,40.874089,Pennsylvania
RI,0,,1000,,,,311.16,726.75,139.57,577.91,253.32,25,0,3033.71,-71.531002,41.682406,Rhode Island
SC,0,4737.46,8563.04,11459.23,2705.33,3408.6,17020.99,7168.11,3011.08,5064.55,2928.14,570.16,0,66636.69,-80.883023,33.900651,South Carolina
SD,0,1951.6,1300,1351.6,75,1300,1658.75,100,405.16,311.32,325.16,10,0,8788.59,-100.22772,44.44542,South Dakota
TN,0,21346.81,13975.57,23844.44,11708.51,3642.16,4616.13,3695.82,5882,11260.5,5328.2,25,0,105325.14,-86.322209,35.838538,Tennessee
TX,0,117910.97,62865.58,150930.3,97402.19,23309.32,51242.55,29504.53,29635.52,26827.18,27097.24,3593.84,0,620319.22,-98.5,31.3,Texas
UT,0,8501.75,3720,17609.06,1622.35,3821.43,3957.35,2431.12,1766.12,3226.71,1500.39,370,0,48526.28,-111.669552,39.329209,Utah
VT,0,1720.25,296.76,3402.4,360.8,1682.4,5815.95,95.16,312.25,100,322.08,50,0,14158.05,-72.662015,44.07374,Vermont
VA,0,17377.34,14003.54,19586.89,10640.64,7523.74,39422.93,5802.88,11071.32,11938.11,19921.58,1415.32,0,158704.29,-78.810097,37.507621,Virginia
WA,0,17566.05,3749.88,16970.91,8257.24,18952.07,29763.03,7185.91,11233.93,14608.1,8468.92,3669.39,0,140425.43,-120.398462,47.380244,Washington
WV,0,3203.2,250,3955.34,1605.16,977.83,2282.24,440.32,1488.1,1830.32,1051.76,1120.16,0,18204.43,-80.610605,38.644907,West Virginia
WI,0,6723.8,1039.92,22381.94,1608.06,4528.74,7422.89,3796.89,3987.12,3990.67,1970.58,1345.16,0,58795.77,-89.7,44.5,Wisconsin
WY,0,1030.55,8750,4228.2,2440,18745.1,8963.58,566.92,1185.16,2021.92,1116.16,-979.84,0,48067.75,-107.553549,43.027008,Wyoming
