state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
NY,0,32691,140141.82,112499.32,132569.36,141716.55,260583.66,288753.9,207650.46,444870.05,689060.03,1435319.4,1768186.05,5654041.6,-75.502933,42.927867,New York
NC,0,2619.58,17061.66,17102.47,18330.3,24038,51028.67,53746.45,55730.53,98021.78,150415.49,308863.33,392793.32,1189751.58,-79.251255,35.536226,North Carolina
ND,0,250,2100,1300,-410.35,1430.74,1837.35,3605,1889.83,5936.59,5850.9,14463.14,22758.54,61011.74,-100.483902,47.461886,North Dakota
OH,0,3150,17467.33,18959.16,18893.47,22160.99,38480.82,50164.88,36759.33,87427.46,118336.98,238693.4,324648.19,975142.01,-82.5,40,Ohio
OK,0,1250,4965,3344.78,7967.53,6651.44,13575.23,11931.19,12780.5,20046.14,42256.06,88126.14,107425.83,320319.84,-97.502839,35.58171,Oklahoma
OR,0,10520,35949.86,31653.14,36056.86,68243.62,87074.3,101729.16,87339.42,181974.07,237034.98,488156.43,654434.35,2020166.19,-120.537708,43.944367,Oregon
PA,0,7732,31889.34,27088.82,28501.94,37741.95,67890.98,84328.16,65958.51,142502.19,203765.95,455203.53,516436.66,1669040.03,-77.807272,40.874089,Pennsylvania
RI,0,1650,4381,7885.16,3705.73,4389.36,11510.19,14821.65,9997.28,25913.42,27333.1,70140.78,86689.25,268416.92,-71.531002,41.682406,Rhode Island
SC,0,1450,4925,6542.18,3282.49,10845.75,12615.19,17006.15,11592.86,28524.31,35451.62,100334.82,96911.48,329481.85,-80.883023,33.900651,South Carolina
SD,0,250,2319,2370.21,1925.56,1728.57,3085.86,3519.93,3701.05,4188.25,12978.69,20556.35,19917.46,76540.93,-100.22772,44.44542,South Dakota
TN,0,1460,10135,9698.52,15102.5,13293.05,22294.79,28526.07,18543.61,47470.37,64020.03,143229.36,168303.3,542076.6,-86.322209,35.838538,Tennessee
TX,0,7730,41384.15,44529.32,52375.4,54594.34,99540.99,134814.57,90482.09,208071.57,285591.7,680557.25,747094.09,2446765.47,-98.5,31.3,Texas
UT,0,600,6520.17,6099.07,5591,5664.4,14695.41,15904.27,13928.73,30136.05,46643.04,80406.07,133566.8,359755.01,-111.669552,39.329209,Utah
VT,0,24785,99745.55,96349.42,68677.16,39325.48,103363.21,89956.29,70700.64,171559.79,218860.57,413279.49,479633.33,1876235.93,-72.662015,44.07374,Vermont
VA,0,5540,25483.51,26360.37,28567.37,30821.02,68713.63,63241.6,57100.55,116837.72,167562.66,385091.1,437827.74,1413147.27,-78.810097,37.507621,Virginia
WA,0,21990,84782.33,78463.36,79020.81,139306.11,154247.34,218794.86,157267.66,357978.39,490576.5,898824.32,1186869.2,3868120.88,-120.398462,47.380244,Washington
WV,0,185,7376,2297.44,3255,4846.91,6913.48,7760.6,7133.01,15864.17,18373.89,34788.9,49545.65,158340.05,-80.610605,38.644907,West Virginia
WI,0,7727,17442.57,34518.31,21349.15,27035.62,50081.36,38096.53,36040.23,72293.47,114055.29,204717.15,275471.46,898828.14,-89.7,44.5,Wisconsin
WY,0,250,50,1251,1000,2339.46,3409.26,3778.04,3903.75,6958.13,7958.84,18040.39,19740.29,68679.16,-107.553549,43.027008,Wyoming
