state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
PA,0,245141.32,192466.55,480434.55,541524.85,51502.9,102640.37,224899.9,157475.39,265524.18,513802.09,432791.73,368854.99,3577058.82,-77.807272,40.874089,Pennsylvania
RI,0,53355,36047.32,118303.6,14103.06,24181.92,20752.51,18844.62,73136.65,108461.66,24138.16,99628.3,69392.52,660345.32,-71.531002,41.682406,Rhode Island
SC,0,30565.16,30782.51,177252.4,13357.03,27350.81,46556.19,36387.3,81834.78,26389.41,84895.84,268265.46,82164.18,905801.07,-80.883023,33.900651,South Carolina
SD,0,7866,3950,9562,2900,1854.44,3495.13,1910,1720.26,3763,4395,10133,10017.09,61565.92,-100.22772,44.44542,South Dakota
TN,0,71975,87045.13,78916.45,33397.2,41930.12,36842.59,77566.97,334425.27,58405.21,46518.66,124813.41,376318.64,1368154.65,-86.322209,35.838538,Tennessee
TX,0,430070.25,830593.25,773548.52,193737.83,640352.8,434540.84,522503.1,733794.34,408742.31,918951.85,1010803.94,833776.1,7731415.13,-98.5,31.3,Texas
UT,0,8403,19133.35,2764.29,156943.88,56566.48,14943.05,11774.35,9240.15,10935.45,16136.71,33581.28,53932.66,394354.65,-111.669552,39.329209,Utah
VT,0,21550,4255,21466.29,3550,4645.89,12769.3,7242.69,6191,7526.95,14422.32,23094.49,22951.44,149665.37,-72.662015,44.07374,Vermont
VA,0,494110.16,234738.53,474268.38,337649.15,142076.21,289466.14,246074.2,397678.61,381668.8,285567.56,633398.17,698217.43,4614913.34,-78.810097,37.507621,Virginia
WA,0,194917.16,135649.37,411793.2,62590.11,58560.34,83598.82,103709.83,155966.72,146836.81,222987.81,409722.19,1072317.33,3058649.69,-120.398462,47.380244,Washington
WV,0,3311,3805,4215.89,7647.39,3194.51,28436.38,15010.15,8559.78,10049.29,28819.2,32290.45,25323.76,170662.8,-80.610605,38.644907,West Virginia
WI,0,39855.16,30401.02,23183.47,18252.08,54800.7,98373.33,30547.89,99509.06,39621.11,77148.94,160673.26,110778.05,783144.07,-89.7,44.5,Wisconsin
WY,0,3530,3355,2341,2411.89,6054.96,8130,2912,7660.84,4664.69,7547,15271.68,17126.6,81005.66,-107.553549,43.027008,Wyoming
