FIPS,2009,2010,2011,2012,2013,2014
1001,5.9,6.2,7.5,8.6,9.4,8.5
1003,5.5,6.6,7.7,8.5,9.2,8.6
1005,9.8,9.6,13,13.5,14.3,14.2
1007,4.8,9.1,9.6,10.5,12.2,10.9
1009,5.7,7.5,9.1,10,9.7,9.3
1011,10.7,11.2,15.5,14.3,15,17.4
1013,9,9.5,12.1,13.8,14.8,12.2
1015,9.6,11.7,12,13.3,14.2,13.5
1017,12.2,14.2,14.9,16,17.2,12.7
1019,11.2,12.4,12.9,10.5,10.5,9.6
1021,7.6,9.1,11.1,11.3,10.3,9.7
1023,10.5,13.1,16.2,15.6,14.1,13.4
1025,8.2,10,14.5,16.7,18.9,19.9
1027,8.9,10.9,10.9,11.7,12.9,10.9
1029,12.8,12.9,12.5,12.3,11.2,8.6
1031,7.3,7.5,7.3,7.6,7.7,7.3
1033,6.4,7.4,8.5,8.7,9.9,10
1035,8.9,12.6,19.5,23.6,24.8,26.7
1037,6.6,11,13.8,13.8,17.7,19.9
1039,9.2,8.9,9.6,10.2,11,10.5
1041,9.5,8.6,9.3,8.6,9.5,10.7
1043,6.8,7.8,8.8,9.2,9.7,9
1045,6.6,7.6,8.5,8.8,10.4,10.8
1047,15.5,15.2,17.1,19.4,20,18
1049,8,8.6,9.9,11,11.4,9.5
1051,7.9,8.1,8.8,8.5,8.9,8.6
1053,9.1,10.3,11.7,15,15.8,16.2
1055,8.9,10.1,10.2,11.3,11.8,10.7
1057,6.5,6.7,7,8.1,9.8,11.3
1059,7.5,8.1,8.1,9.3,10,9.5
1061,7,7.6,8.7,9.7,9.4,10.7
1063,15.3,21.9,21.3,23.8,24.1,25.9
1065,15,14.1,15.4,15.9,16.2,13.4
1067,7.7,10.8,13,12.7,12.1,11.1
1069,6.3,6.6,7.4,7.8,8.2,8.1
1071,8,7.4,8.6,8.1,10.2,10.4
1073,8,8.7,9.3,10,10.3,9.9
1075,9.8,9.8,9.8,9.5,10.1,9.7
1077,8.5,8.6,8.3,9.1,9.2,7.9
1079,5.7,8.9,10.9,11.5,12.7,11.4
1081,7.7,8.4,9.1,9.7,9.4,8.4
1083,7.3,7.5,7.7,8.9,9.1,8.4
1085,12.3,14.5,15.8,17.6,17.5,16.7
1087,12.6,13.7,13.4,16.5,18.2,18.8
1089,7,8.1,9,9.3,10,9.6
1091,8.6,11,10.5,10.6,10.6,11
1093,7.1,7.9,9,10.9,11.9,11.4
1095,6,6.4,8,9.1,10.2,9.5
1097,8.4,9.7,10.4,11.1,11.9,11.1
1099,10,10.5,13.2,14.8,18.9,18.8
1101,7.6,7.9,8.6,8.7,8.9,8.9
1103,7.3,8.5,9.4,11,11.8,10.8
1105,10.6,15.4,15.2,19.1,19.9,18
1107,10.4,14.1,14,14.5,16.4,16.7
1109,7.9,9.2,9.7,9.7,10.7,9.9
1111,11.7,10.5,10.5,11.6,12.1,11.4
1113,10,11.6,12.3,11.7,11.9,12.4
1115,7.4,7.2,9.7,10.7,10.8,9.5
1117,4.5,5.5,6.5,6.4,6.5,6.2
1119,13.5,16.6,18.4,19,17.6,16.7
1121,10.6,11.5,13.6,14.5,15.1,14.9
1123,9.3,9.5,10.2,11.6,11.4,10.3
1125,6.1,6.4,7.3,8,8.1,8.2
1127,8.5,11.6,12.9,13.7,14.5,13.1
1129,6.2,10.3,15.6,18,20.4,19.8
1131,20.7,21.7,24.8,24.5,27.1,21.6
1133,7.2,7.7,8.9,9.8,10.4,10.1
2013,4.4,3.4,5.8,3.1,1.7,2.2
2016,1.8,1.9,4,3.6,4,2.7
2020,7.3,7.4,7.2,7.3,7.3,6.9
2050,17.9,18.5,16.8,17.9,18.6,17.3
2060,10.5,11.4,9.1,6.9,4.6,5.5
2068,2,1.9,2.7,2.8,2.3,2.7
2070,14.3,14.7,15.4,14.5,16.1,16.4
2090,6.9,7.1,6.7,6.7,7.9,8.2
2100,5.7,5.6,10.1,9,8.3,6.2
2105,11.9,10.2,14.2,12.7,13.9,13.9
2110,6.1,5.8,5.3,5.1,5.3,5.6
2122,9.1,8.6,8.5,8.9,9.8,9.4
2130,4.8,6.8,8,8.4,8.7,8.5
2150,6.8,5.9,7.4,5.9,6.9,5.3
2164,5.8,10.3,9.9,8.9,10.9,11.9
2170,11.8,9.6,9.7,10.5,10.5,10.2
2180,16.8,17.3,16.9,17.8,17.9,17.6
2185,19.4,24.6,15.8,12.3,12,10.3
2188,25.8,26.3,25.9,26.2,26.2,23.8
2195,4.9,4.3,6.2,4.5,6,5.7
2198,11,11.2,10.9,11.4,12.8,13.4
2220,7.6,6.9,6.5,6.3,5.3,4.6
2230,10.8,12.2,5.3,7.6,7.8,5.5
