state,st,disease,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Michigan,MI,Mumps,80,59,60,48,28,33,10,7,5,7,8,2,,,,,,,,,
Ohio,OH,Mumps,74,77,54,52,35,29,21,9,1,11,7,11,,,,,,,,,
Wisconsin,WI,Mumps,23,14,0,3,4,3,4,3,2,1,2,1,,,,,,,,,
Iowa,IA,Mumps,11,16,11,3,10,11,8,8,1,1,2,2,,,,,,,,,
Kansas,KS,Mumps,1,1,0,2,1,4,4,3,5,6,3,10,,,,,,,,,
Minnesota,MN,Mumps,2,5,11,7,7,13,1,7,6,5,1,4,,,,,,,,,
Missouri,MO,Mumps,46,44,25,10,0,4,1,5,4,4,5,3,,,,,,,,,
Nebraska,NE,Mumps,1,1,4,0,1,0,1,2,1,2,0,0,,,,,,,,,
North Dakota,ND,Mumps,6,4,1,2,0,2,1,1,0,2,0,1,,,,,,,,,
South Dakota,SD,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Delaware,DE,Mumps,1,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,
Florida,FL,Mumps,48,40,28,32,29,22,17,7,8,7,7,9,,,,,,,,,
Georgia,GA,Mumps,20,18,11,9,11,2,4,2,9,2,3,2,,,,,,,,,
Maryland,MD,Mumps,82,65,41,37,1,0,6,9,8,9,5,4,,,,,,,,,
North Carolina,NC,Mumps,231,73,42,27,12,12,9,9,5,2,2,5,,,,,,,,,
South Carolina,SC,Mumps,17,8,13,7,11,8,6,11,7,3,5,0,,,,,,,,,
Virginia,VA,Mumps,40,48,28,19,21,13,11,11,8,5,1,11,,,,,,,,,
"Washington, DC",DC,Mumps,1,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,
West Virginia,WV,Mumps,23,5,0,0,0,0,0,1,0,0,3,2,,,,,,,,,
Alabama,AL,Mumps,22,12,5,6,9,9,11,4,0,3,4,4,,,,,,,,,
Kentucky,KY,Mumps,0,0,0,0,3,1,0,1,3,3,0,0,,,,,,,,,
Mississippi,MS,Mumps,17,11,10,16,14,7,1,0,5,5,1,0,,,,,,,,,
Tennessee,TN,Mumps,19,9,5,1,8,2,0,2,1,2,5,4,,,,,,,,,
Arkansas,AR,Mumps,10,7,7,1,3,13,0,3,0,0,1,0,,,,,,,,,
Louisiana,LA,Mumps,20,38,15,21,17,8,11,5,2,1,1,9,,,,,,,,,
Oklahoma,OK,Mumps,13,23,1,1,3,4,4,3,0,2,2,1,,,,,,,,,
Texas,TX,Mumps,231,234,43,44,75,42,35,27,14,15,18,23,,,,,,,,,
Arizona,AZ,Mumps,19,99,2,1,34,6,8,6,2,1,1,7,,,,,,,,,
Colorado,CO,Mumps,18,4,3,5,3,7,6,1,3,2,1,3,,,,,,,,,
Idaho,ID,Mumps,6,10,4,0,6,7,4,1,2,1,1,3,,,,,,,,,
Montana,MT,Mumps,0,0,1,0,0,0,0,1,1,0,0,0,,,,,,,,,
Nevada,NV,Mumps,27,18,12,15,9,14,5,6,4,6,5,1,,,,,,,,,
New Mexico,NM,Mumps,NN,NN,NN,NN,NN,NN,NN,1,2,1,1,0,,,,,,,,,
Utah,UT,Mumps,6,28,11,3,8,5,4,7,1,7,5,2,,,,,,,,,
Wyoming,WY,Mumps,5,3,0,1,1,1,0,1,2,0,1,1,,,,,,,,,
Alaska,AK,Mumps,11,4,12,3,8,3,3,8,1,0,1,2,,,,,,,,,
California,CA,Mumps,285,258,211,185,151,110,95,89,48,70,58,55,,,,,,,,,
Hawaii,HI,Mumps,30,19,14,31,27,26,16,23,42,22,13,9,,,,,,,,,
Oregon,OR,Mumps,NN,NN,NN,NN,NN,NN,NN,NN,NN,0,NN,0,,,,,,,,,
Washington,WA,Mumps,14,23,16,26,21,11,2,10,2,0,11,2,,,,,,,,,
USA,USA,Pertussis,6586,4617,5137,7796,6564,7405,7288,7867,7580,9771,11647,25827,,,,,,,,,
Connecticut,CT,Pertussis,102,44,34,49,36,54,35,54,24,30,77,67,,,,,,,,,
Maine,ME,Pertussis,20,21,47,55,26,5,33,46,22,21,91,196,,,,,,,,,
Massachusetts,MA,Pertussis,408,534,492,1245,582,805,649,1411,537,602,1670,1698,,,,,,,,,
New Hampshire,NH,Pertussis,168,107,70,197,150,149,116,159,31,78,119,134,,,,,,,,,
Rhode Island,RI,Pertussis,14,8,7,40,19,21,49,28,9,22,55,53,,,,,,,,,
Vermont,VT,Pertussis,122,46,81,280,283,80,96,254,113,172,71,180,,,,,,,,,
New Jersey,NJ,Pertussis,85,15,20,31,14,29,19,56,23,34,188,223,,,,,,,,,
New York (exc NYC),NY,Pertussis,373,33,253,533,214,352,1020,385,175,442,1067,1969,,,,,,,,,
New York (inc NYC),NY,Pertussis,489,48,273,564,228,381,1039,441,198,476,1255,2192,0,0,0,0,0,0,0,0,0
NYC,NYC,Pertussis,116,224,67,61,78,54,61,90,59,24,150,196,,,,,,,,,
Pennsylvania,PA,Pertussis,417,202,129,327,197,260,219,288,198,194,352,560,,,,,,,,,
Illinois,IL,Pertussis,434,111,155,192,155,173,140,133,194,231,321,1554,,,,,,,,,
Indiana,IN,Pertussis,178,97,76,128,104,185,90,153,116,183,104,364,,,,,,,,,
Michigan,MI,Pertussis,116,96,103,59,71,71,74,127,149,62,140,303,,,,,,,,,
Ohio,OH,Pertussis,523,162,175,289,165,299,322,389,327,441,328,766,,,,,,,,,
Wisconsin,WI,Pertussis,376,149,158,169,219,191,117,140,199,180,697,5641,,,,,,,,,
Iowa,IA,Pertussis,38,23,11,32,207,78,111,67,139,157,166,1066,,,,,,,,,
Kansas,KS,Pertussis,24,18,23,14,33,105,56,42,31,63,46,250,,,,,,,,,
Minnesota,MN,Pertussis,393,142,238,433,547,439,281,575,308,429,207,1368,,,,,,,,,
Missouri,MO,Pertussis,144,45,63,74,80,59,75,97,107,147,208,595,,,,,,,,,
Nebraska,NE,Pertussis,14,14,14,15,16,21,9,28,8,9,16,97,,,,,,,,,
North Dakota,ND,Pertussis,5,5,8,1,2,46,31,9,11,9,7,757,,,,,,,,,
South Dakota,SD,Pertussis,8,26,12,4,5,8,8,11,5,8,7,169,,,,,,,,,
Delaware,DE,Pertussis,11,3,10,26,1,5,8,9,0,4,9,16,,,,,,,,,
Florida,FL,Pertussis,104,109,94,100,90,66,113,67,29,53,113,132,,,,,,,,,
Georgia,GA,Pertussis,56,37,30,35,18,38,52,52,23,29,36,28,,,,,,,,,
Maryland,MD,Pertussis,133,74,49,278,119,66,124,133,53,68,94,159,,,,,,,,,
North Carolina,NC,Pertussis,199,140,137,186,118,112,104,129,75,46,144,101,,,,,,,,,
South Carolina,SC,Pertussis,73,14,28,49,32,29,27,63,34,48,208,206,,,,,,,,,
Virginia,VA,Pertussis,75,37,31,108,59,56,65,134,272,168,219,400,,,,,,,,,
