disease,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
measles,630291,146013,659843,222375,615104,625281,319124,530118,683077,449146,682720,555156,611936,486799,763094,406162,441703,423919,48530,385156,458083,261904,204136,62705,22231,25826,47351,75290,32275,26690,22094,24374,41126,57345,26871,13597,13506,3124,1714,1497,2587,2822,6282,3655,3396,18193,27786,9643,2237,312,746,281,443,81,74,66,60,62,26,32,10,42,24,14,115,51,23,140,34,135,667,189
mumps,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,152209,90918,104953,124939,74215,69612,59128,59647,38492,21436,16817,14225,8576,4941,5270,3355,3021,2982,7790,12848,4866,5712,5292,4264,2572,1692,1537,906,751,683,666,387,338,266,270,231,258,314,6584,800,454,"1,991",2612,404,229,584,1223,1057
pertussis,109873,133792,109860,156517,74715,69479,120718,68687,45030,37129,60886,62786,31732,28295,32148,40005,14809,11468,17749,17135,13005,6799,7717,9718,4810,3285,4249,3036,3287,1759,2402,1738,1010,2177,2063,1623,1730,1248,1895,2463,2276,3589,4195,2823,3450,4157,4570,2719,4083,6586,4617,5137,7796,6564,7405,7288,7867,7580,9771,11647,25827,25616,15632,10454,"13,278","16,858",27550,18719,48277,28639,32971,NA
rubella,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,46975,46888,49371,57686,56552,45086,25507,27804,11917,16652,12491,20395,18269,11795,3904,2077,2325,970,752,630,551,306,225,396,1125,1401,160,192,227,128,238,181,364,267,176,23,18,7,10,11,11,12,16,3,5,4,9,9,NA,NA
varicella,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,164114,182927,141495,154248,183990,188396,154089,199081,190894,200766,167423,177462,221983,178162,183243,213196,192857,185441,173099,147076,158364,134722,151219,120624,83511,98727,82455,46016,27382,22536,22841,20948,32931,32242,48455,40146,"30,386","20,480",15427,14513,13447,11359,NA,NA
