ID,METRO_AREA,Cities_Included,Rent_Income_Ratio_Raw,Rent_Income_Ratio_Rank,Transit_Raw,Transit_Rank,Food_Raw,Food_Rank,Bars_Raw,Bars_Rank,Museums_Raw,Museums_Rank,Sports_Raw,Sports_Rank,Annual_Income_Raw,Annual_Income_Rank,Monthly_Income_Raw,Monthly_Rent_Rank,Price_of_Weed_Raw,Price_of_Weed_Rank,Farmers_Markets_Raw,Farmers_Markets_Rank,Pet_Friendly_Raw,Pet_Friendly_Rank,LGBTQ_Friendly_Raw,LGBTQ_Friendly_Rank,Music_Rank,Music_Rank,Safety_Raw,Safety_Rank,Shopping_Raw,Shopping_Rank,Fitness_Raw,Fitness_Rank,Parks_Raw,Parks_Rank,,,Bike_Raw,Bike_Rank,Walk_Raw,Walk_Rank
34,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose,2.291129527,45,41,21,33,32,1.679559867,45,0,0,0,0,44787,2,3732.25,50,242.31,4,1.77,13,0,0,17,12,0,0,54,7,20,20,37.39,32,60,20,,,56.9,16,48.1,23
28,"Cincinnati, OH-KY-IN Metro Area",Cincinnati,3.551333333,3,43.2,20,0,0,4.366846719,11,0,0,26,25,31962,27,2663.5,5,360.58,40,0,0,0,0,0,0,0,0,57,9,0,0,54.63,4,75,6,,,37,41,50.1,21
9,"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta,2.774570447,30,44.3,19,15,15,0.987099003,51,13,11,18,17,32296,24,2691.333333,29,320.16,21,0,0,13,12,30,20,13,13,86,23,0,0,50.92,8,47.5,33,,,49.9,26,45.9,25
19,"St. Louis, MO-IL Metro Area",St. Louis,3.326629538,7,45.2,18,28,28,4.635969842,10,0,0,20,19,32255,25,2687.916667,9,384.74,50,0,0,7,6,0,0,0,0,109,34,0,0,48.41,12,56,25,,,56.9,16,59.8,14
21,"Denver-Aurora-Lakewood, CO Metro Area",Denver,3.001586506,21,46.9,17,17,17,3.517821486,20,7,7,15,14,35947,11,2995.583333,33,244.59,5,2.26,7,3,3,9,6,19,19,59,10,13,13,50.25,10,66.5,11,,,71.3,4,55.7,19
29,"Cleveland-Elyria, OH Metro Area",Cleveland,3.489111111,4,47.1,16,30,30,4.658222259,9,0,0,17,16,31402,33,2616.833333,4,348.46,37,0,0,0,0,0,0,4,4,59,10,0,0,42.28,24,54,27,,,50.8,25,56.8,17
39,"Milwaukee-Waukesha-West Allis, WI Metro Area",Milwaukee,3.275547445,11,49.1,15,25,25,6.652143262,4,0,0,30,29,32310,23,2692.5,10,333.47,28,2.17,8,0,0,22,16,0,0,40,2,17,17,41.95,25,61.5,16,,,0,0,59.4,16
48,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",Buffalo,3.574022989,2,50.4,14,0,0,6.684477794,3,0,0,0,0,31094,35,2591.166667,2,368.21,45,0,0,0,0,34,21,0,0,0,0,0,0,47.93,15,50,28,,,54.5,21,64.9,12
24,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland,2.753443526,32,50.8,13,5,5,5.708962059,6,18,15,0,0,31984,26,2665.333333,28,216.71,2,3.87,2,5,4,16,11,16,16,41,3,0,0,49.49,11,76.5,4,,,72,3,62.8,13
2,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles,1.974234164,50,51.3,12,10,10,1.981638809,37,11,9,28,27,30419,42,2534.916667,46,276.65,10,0.97,25,16,14,1,1,6,6,71,19,16,16,44.42,20,63.5,13,,,66.4,10,65.8,10
